,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
66,EthPriceMintModule_run_code_of_0_block_78_0_input,PUSH 2 PUSH0 SLOAD SUB PUSH [tag] 113,10,True,True,model,0.24,5,8,2111,5,0,0,0,PUSH 2 PUSH0 SLOAD SUB PUSH [tag] 113,5.0,5.0,8.0,2111.0,True,
67,EthPriceMintModule_run_code_of_0_block_123_0_input,SWAP3 POP PUSH 20 DUP5 ADD CALLDATALOAD PUSH [tag] 186 DUP2 PUSH [tag] 177,10,True,True,model,0.89,9,14,26,9,0,0,0,SWAP3 POP PUSH 20 DUP5 ADD CALLDATALOAD PUSH [tag] 186 DUP2 PUSH [tag] 177,9.0,9.0,14.0,26.0,True,
68,EthPriceMintModule_run_code_of_0_block_68_1_input,PUSH 1 SWAP3 POP POP POP PUSH [tag] 99 PUSH 1 PUSH0 SSTORE,10,True,True,model,0.58,9,13,5020,9,1,2,3,POP POP POP PUSH 1 PUSH [tag] 99 DUP2 PUSH0 SSTORE,8.0,8.0,11.0,5017.0,True,
69,EthPriceMintModule_run_code_of_0_block_100_0_input,POP PUSH 20 DUP3 LT ISZERO,10,True,True,model,0.25,5,6,14,5,0,0,0,POP PUSH 20 DUP3 LT ISZERO,5.0,5.0,6.0,14.0,True,
70,EthPriceMintModule_run_code_of_0_block_149_0_input,PUSH0 DUP3 MLOAD PUSH [tag] 222 DUP2 DUP5 PUSH 20 DUP8 ADD PUSH [tag] 178,10,True,True,model,0.91,10,15,29,10,0,0,0,PUSH0 DUP3 MLOAD PUSH [tag] 222 DUP2 DUP5 PUSH 20 DUP8 ADD PUSH [tag] 178,10.0,10.0,15.0,29.0,True,
71,EthPriceMintModule_run_code_of_0_block_50_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH0 DUP2 DUP2 MSTORE PUSH 2 PUSH 20 MSTORE PUSH 40 SWAP1 DUP2 SWAP1 KECCAK256 DUP5 SWAP1 SSTORE MLOAD PUSH 524cecc77af23c505ed68013235d4e4b25f14355ddfc8cbe05723a91bd6ffef9 SWAP1 PUSH [tag] 67 SWAP1 DUP6 DUP2 MSTORE PUSH 20 ADD SWAP1,10,False,False,unsat,13.73,33,74,5122,33,0,0,0,,,,,,True,
72,EthPriceMintModule_run_code_of_0_block_124_0_input,SWAP3 SWAP6 SWAP3 SWAP5 POP POP POP PUSH 40 SWAP2 SWAP1 SWAP2 ADD CALLDATALOAD SWAP1,10,True,True,model,1.34,14,15,39,14,4,4,12,SWAP5 SWAP4 PUSH 40 ADD CALLDATALOAD SWAP4 POP POP POP SWAP3,10.0,10.0,11.0,27.0,True,
73,EthPriceMintModule_run_code_of_0_block_14_0_input,PUSH [tag] 18,10,True,True,model,0.13,1,3,3,1,0,0,0,PUSH [tag] 18,1.0,1.0,3.0,3.0,True,
74,EthPriceMintModule_run_code_of_0_block_110_0_input,POP SWAP2 POP SWAP2 POP PUSH [tag] 148 DUP8 DUP4 DUP4 DUP8 PUSH 60 DUP4 ISZERO PUSH [tag] 161,10,True,True,model,53.78,14,19,39,14,0,0,0,POP SWAP2 POP SWAP2 POP PUSH [tag] 148 DUP8 DUP4 DUP4 DUP8 PUSH 60 DUP8 ISZERO PUSH [tag] 161,14.0,14.0,19.0,39.0,True,
75,EthPriceMintModule_run_code_of_0_block_117_0_input,DUP1 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 12 SWAP2 SWAP1 PUSH [tag] 176,10,False,False,unsat,1.38,14,24,42,14,0,0,0,,,,,,True,
